PRCP ID,Comment Score,Reason
1001046349,0.35,"CCtx only, H0038 top code, review by PS Mgr, moderate risk."
1001053540,0.2,"3B - national contract, supervisory protocol, low risk."
1001055577,0.3,"ORC for billing others, decreased long days, closed case, low to moderate risk."
1001058893,0.25,"Audit results satisfactory, no current patterns, low risk."
1001060016,0.4,"States and add-ons, APRN, Happier Living case, moderate risk."
1001060037,0.3,"States and add-ons, some low billing, no long days, low to moderate risk."
1001061359,0.45,"No note in PLINX, predominance of HCPC codes, sending to PM Manager, moderate risk."
1001062037,0.2,"Reviewed with AVP, no issues, low risk."
1001062463,0.35,"CCtx and add-ons, all IP some dementia, pass, low to moderate risk."
1001070334,0.2,"Open to Gayna, then closed, low risk."
1001076582,0.4,"States, add-ons, no current long days, moderate risk."
1001089154,0.45,"Predominantly H codes, triggered for long days, frequency issues, moderate risk."
1001090102,0.4,"Add-on codes, telehealth, slightly long days, moderate risk."
1001095277,0.2,"Data mining, no patterns of concern, low risk."
1001108011,0.3,"H code billing, reviewed by PS team, low to moderate risk."
1001124675,0.45,"Billing includes Swer under Health Connect America, review needed, moderate risk."
1001128652,0.2,"Oon SW billing mainly HCPCS codes, intervention completed, low risk."
1001133520,0.5,"MD in FL, longer current days, E/Ms and 90833, moderate risk."
1001133971,0.4,"Billing for HCPC codes, MS billing, pass for now, moderate risk."
1001135533,0.35,"APRN in FL, add on codes, telehealth, closing case, low to moderate risk."
1001140195,0.25,"Billing for others due to rostering issues, addressed at group level, low risk."
1001147800,0.45,"SW in WI, long days, telehealth, reassessment needed, moderate risk."
1001158842,0.55,"APRN in FL, long days, states, add-ons, ORC to be scheduled, moderate to high risk."
1001165229,0.3,"Crisis addon codes, closing case from a priority standpoint, low to moderate risk."
1001165693,0.4,"SW in IL, telehealth, 12 and 13-hour days, moderate risk."
1001168092,0.45,"Open to Gayna, flag request resubmitted, needs staffing, moderate risk."
1001178902,0.35,"MSW in MA, mostly Medicaid, crisis codes, moderate risk."
1001193054,0.25,"CCtx, all H0038, low risk."
1001203707,0.5,"Problems with frequency of billing, actionable, moderate risk."
1006265690,0.2,"Only minimal EDW billing, low risk."
1007605173,0.3,"Only HCPC billing, sent to AVP for review, low to moderate risk."
1000739956,0.3,"ORC completed, long days decreased, some Medicare billing, closed case, low to moderate risk."
1000739988,0.35,"SW in IL, older long days, some one-offs, supervising, low to moderate risk."
1000741100,0.45,"In scheduling, long days, exposure at 2 TINS, moderate risk."
1000741578,0.2,"Billing under 3 TIN's, majority billing out of scope for outpatient team, low risk."
1000743691,0.4,"Tip for billing for others, closing case until SPs reviewed, moderate risk."
1000748043,0.3,"Supervisory protocol may have been in play, no patterns of concern, low to moderate risk."
1000758689,0.35,"MD in MS, long days in different states, last service in Nov, low to moderate risk."
1000760011,0.25,"Case closing, issues corrected, low risk."
1000764834,0.45,"Billing HCPC codes at a 3B, reviewing for appropriateness, moderate risk."
1000769341,0.2,"Open-SP case, holding, low risk."
1000824719,0.4,"SW in KY, HCPCs billing, review by TJ, moderate risk."
1000826898,0.3,"Longer days only issue, closing case due to SP changes, low to moderate risk."
1000827953,0.45,"Telehealth only, longer days, reviewing for ORC, moderate risk."
1000828837,0.25,"Triggered for different states, ER work and crisis intervention, low risk."
1000839568,0.55,"Non-MD codes and add-ons, longer days, need to review billing, moderate to high risk."
1000842502,0.2,"Billing H2036 TG, reviewed for appropriateness, pass, low risk."
1000844862,0.3,"Majority billing Medica, telehealth pattern, pass, low to moderate risk."
1000847210,0.4,"ORC completed, triggers addressed, monitoring needed, moderate risk."
1000852610,0.25,"ORC for inappropriate documentation, closing case, low risk."
1000853294,0.35,"Triggered for states and add-ons, no significant pattern, low to moderate risk."
1000853449,0.3,"Case passed, primary concern addressed, low to moderate risk."
1000855787,0.5,"Open to Gayna, auditing in progress, moderate risk."
1000856493,0.4,"LCSW in KY, CC tx, predominantly HCPC billing, moderate risk."
1000865035,0.45,"Cross billing and concurrent tx, primary billing H0038, moderate risk."
1000869153,0.35,"LCSW in RI, long days likely supervising, pass, low to moderate risk."
1000871688,0.3,"Long days explained by TMS and spravato, pass, low to moderate risk."
1000877160,0.45,"Billing detox under a 3B, needs review by PS team, moderate risk."
1000893225,0.2,"Primarily billing H0004, no other patterns, low risk."
1000893774,0.4,"Sent to KY PS for review, HCPC codes, moderate risk."
1000901041,0.5,"Case open to TJ Bolton, outreach occurring, moderate risk."
1000902221,0.55,"Triggered for long days, actionable, open and send to committee, moderate to high risk."
1000906390,0.3,"MD in KY, long days trigger, MAT provider, pass, low to moderate risk."
1000911075,0.25,"2I SOL Mental Health, scheduling in process, low risk."
1000911083,0.3,"MSW in AL, billing in Alaska, low risk due to state discrepancy."
1000911234,0.35,"MD with some non-MD codes, not a significant pattern, low to moderate risk."
1000911436,0.2,"Triggered for long days and states, no long days, very low utilization, low risk."
1000913822,0.2,"IA completed, no intervention, low risk."
1000915367,0.3,"MD in FL, all E/M, no add-on, mostly telehealth, pass, low to moderate risk."
1000920455,0.25,"Only trigger different states, previous ORC, closed case, low risk."
1000921534,0.3,"Long days skewed by H codes, billing appears appropriate, low to moderate risk."
1000925404,0.45,"MD in FL, triggered for states and add-ons, needs re-check, moderate risk."
1000927044,0.4,"Open to Gayna, ORC addressed add-ons and long days, moderate risk."
1000928283,0.25,"RI, 3B, codes all OP CPT, telehealth, case closed, low risk."
1000929550,0.3,"Lifestance exposure, triggered for states, no significant frequency, pass, low to moderate risk."
1000929844,0.2,"Tip received, HCPC billing, no OP codes pattern, pass, low risk."
1000940369,0.25,"Majority claims at 3B group level, consulted for billing appropriateness, pass, low risk."
1000949283,0.3,"Long days expected due to supervision, HCPCS codes, pass, low to moderate risk."
1000950427,0.2,"RI, all H codes for Methadone Mnt, low risk."
1000965022,0.25,"MD in KY, majority billing SUD RTC H0011, out of scope for PM, low risk."
1000972630,0.5,"ORC to Gayna, PNI referral, moderate risk."
1000975914,0.35,"Case closed, varying state location, supervising staff, low to moderate risk."
1000977516,0.4,"Tip received, documentation in PLINX, flag in place, moderate risk."
1000980694,0.2,"Case closed on monitoring review, audit completed, low risk."
1000980755,0.45,"Triggered for long days, states, add-ons, APRN doing therapy add-ons, moderate risk."
1000981084,0.2,"Audit results call perfect, closed case, low risk."
1000990874,0.35,"Triggering for crisis codes, some frequency, supervision issue, low to moderate risk."
1000991636,0.4,"2 TINS with claims, IC warrants call, minimal crisis sessions, moderate risk."
1001002191,0.2,"MSW in FL, no billing in 4 months, no billing since January, low risk."
1001006524,0.3,"LCSW in NC, billing looks good, no issues on PPA, low to moderate risk."
1001008487,0.35,"High cost E/M, a few longer days, frequency up due to hospital work, low to moderate risk."
1001008600,0.25,"Frequency, Non-MD and CCTX, bed-based HLOC SUD-RES, out of scope, low risk."
1001017897,0.3,"Staffed with AVP, reviewed PPA, pass for now, low to moderate risk."
1001019335,0.4,"Triggered for states, OON, majority at Lifestance, moderate risk."
1001024188,0.25,"ORC completed, exposure low, long days older, pass, low risk."
1001028881,0.3,"EDW PPA, last DOS billed in Oct, group SOL Mental Health in scheduling, low to moderate risk."
1001029966,0.45,"GA therapist, cross billing, long days, different states, moderate risk."
1001035337,0.2,"3B billing out of Idaho, majority billing at Idaho TIN, low risk."
1001035618,0.35,"MD in NC, add-on codes, resubmissions not real long days, moderate risk."
1001035743,0.25,"Primary H-codes for peer services, limited CPT codes, case closed, low risk."
1001036538,0.4,"LCSW in FL, frequency and MFM on same date, HCPC codes, moderate risk."
1001036563,0.45,"MD in FL, actionable for long days, send to committee, moderate risk."
1001041277,0.3,"Triggered for long days, cctx, states, likely SP, low to moderate risk."
1001044523,0.4,"MSW in NY, long days, different states, supervision, moderate risk."
1001044859,0.35,"Charlie Health provider, need to staff status, moderate risk."
1000739956,0.35,"ORC completed, long days decreased, closed case, low to moderate risk."
1000739988,0.4,"SW in IL, long days older, supervising potential, moderate risk."
1000741100,0.55,"Long days, case in scheduling, moderate to high risk."
1000741578,0.25,"Billing under 3 TINs, mostly out of scope for team, lower risk."
1000743691,0.5,"Tip for potential billing issues, closing case for now, moderate risk."
1000748043,0.3,"Supervisory protocol may have been in play, closed case, low to moderate risk."
1000758689,0.35,"MD in MS, triggered for long days, billing in different states, low to moderate risk."
1000760011,0.3,"Case closing, frequency of billing appears corrected, low to moderate risk."
1000764834,0.45,"Billing HCPC codes, consulting for appropriateness, moderate risk."
1000769341,0.25,"Open-SP case, holding, lower risk."
1000824719,0.4,"SW in KY, CC tx, HCPCs billing, sent for review, moderate risk."
1000826898,0.3,"Longer days only issue, closing case due to SP changes, low to moderate risk."
1000827953,0.55,"Reviewing billing patterns, potential for ORC, moderate to high risk."
1000828837,0.2,"Billing out of scope for PM, low risk."
1000839568,0.5,"Non-MD codes and add-ons triggered, need to check billing, moderate risk."
1000842502,0.25,"Majority of claims under one TIN, billing seems appropriate, low risk."
1000844862,0.35,"Majority of billing is Medica, some telehealth, low to moderate risk."
1000847210,0.4,"ORC completed, needs monitoring, moderate risk."
1000852610,0.35,"ORC for documentation issues, closing case, low to moderate risk."
1000853294,0.3,"Triggered for states and add-ons, no significant pattern, low to moderate risk."
1000853449,0.25,"Case closed, primary concern addressed, low risk."
1000855787,0.5,"Open to Gayna, auditing, moderate risk."
1000856493,0.45,"LCSW in KY, CC tx, predominantly HCPC billing, moderate risk."
1000865035,0.4,"Triggered for cross billing, primary billing H0038, moderate risk."
1000869153,0.35,"LCSW in RI, billing 90837 twice on same day, low to moderate risk."
1000871688,0.3,"Happier Living provider, long days due to 90836, low to moderate risk."
1000877160,0.45,"Billing detox under 3B, reviewing for appropriateness, moderate risk."
1000893225,0.25,"Billing primarily H0004 therapy services, no other patterns, low risk."
1000893774,0.4,"Sent to KY PS for review, HCPC codes, moderate risk."
1000901041,0.5,"Case open to TJ Bolton, outreach occurring, moderate risk."
1000902221,0.55,"Triggered for long days, actionable, open and send to committee, moderate to high risk."
1000906390,0.3,"MD in KY, MAT provider, minimal other CPT codes, low to moderate risk."
1000911075,0.4,"2I SOL Mental Health, scheduling process, moderate risk."
1000911083,0.25,"MSW in AL, billing in Alaska, low risk."
1000911234,0.35,"MD with some non-MD codes, no significant add-on, low to moderate risk."
1000911436,0.2,"Triggered for long days and states, no long days on review, very low utilization, low risk."
1000913822,0.2,"IA completed, no intervention, low risk."
1000915367,0.3,"MD in FL, all E/M, no add-on, mostly telehealth, low to moderate risk."
1000920455,0.35,"Only trigger for different states, ORC previously conducted, low to moderate risk."
1000921534,0.4,"Long days skewed by H codes, billing appears appropriate, moderate risk."
2000085276,0.5,"Affiliated with 3B and 1A, crisis billing in ER, diversion program likely, moderate risk."
1000586215,0.45,"2A - MA, telehealth with adults, few members, missing EDW group, moderate risk."
1000589801,0.35,"Closed after monitoring, add-ons did not warrant outreach, low to moderate risk."
1000595511,0.3,"Multiple tins, primary IP billing, expected frequency, lower risk."
1000600503,0.4,"ORC completed, audit results satisfactory, monitoring due, moderate risk."
1000601962,0.55,"Significant add-on psychotherapy, some non-MD billing, ADHD billing, higher risk."
1000605631,0.45,"EDW only, 36k exposure, crisis and ADHD billing, moderate risk."
1000606278,0.5,"Billing for others, group closed, need to re-run data, moderate risk."
1000606389,0.35,"MD in AL, minimal add-ons, hospital billing, low to moderate risk."
1000616750,0.3,"Associated with MCCD, no patterns, long days, low to moderate risk."
1000624579,0.4,"Some non-MD codes, past ORCs, high complexity e/m, mostly office billing, moderate risk."
1000628651,0.55,"MD in WI, long days, states, add-ons, case open, moderate to high risk."
1000630879,0.3,"Frequency up due to IP services, good code split, low to moderate risk."
1000633711,0.2,"Case closed, flag in place for non-MD codes, low risk."
1000642165,0.35,"ORC completed, no other patterns to address, low to moderate risk."
1000645274,0.3,"Case closed, long days but has SP, low to moderate risk."
1000647313,0.5,"MD with non-traditional therapy codes, needs committee review, moderate risk."
1000650835,0.4,"ORC for auditing, moderate risk due to ongoing audit."
1000657046,0.2,"Primary H codes billing, nothing for OP to address, low risk."
1000661067,0.35,"Audit results call, some issues, closing case, low to moderate risk."
1000661133,0.5,"ORC for non-traditional codes, neuropsych testing, moderate risk."
1000661903,0.25,"Passing claims post-flag, case closed, low risk."
1000662853,0.3,"Staffed and passed, long days but has SP, low to moderate risk."
1000662912,0.35,"MD in FL, states, add-ons, TMS and spravado, low to moderate risk."
1000664114,0.4,"PhD in TX, audit results, monitoring activity, moderate risk."
1000678471,0.45,"SW in Wi, cctx and cross billing, group and thx, moderate risk."
1000701048,0.4,"Audit in final stages, moderate risk due to ongoing audit."
1000701371,0.35,"Reviewed PPAs, all EM in hospital setting, low to moderate risk."
1000706609,0.2,"Tip addressed, low exposure, no further intervention, low risk."
1000708612,0.5,"Going to network for referral, open to Gayna, moderate risk."
1000716150,0.3,"ORC for non-MD codes, billing decrease, case closed, low to moderate risk."
1000718160,0.25,"ORC completed, engaging in supervisory protocol, low risk."
1000720063,0.35,"MD in RI, primarily e/m and hospital care, no patterns, low to moderate risk."
1000721297,0.3,"Open-closed case, SP utilized appropriately, low to moderate risk."
1000724822,0.25,"Sent to TJ for HCPC codes, low risk."
1000725641,0.3,"ADHD for adults, no other patterns, low to moderate risk."
1000732394,0.35,"Open to Gayna, ORC completed, long days decreased, low to moderate risk."
1000738604,0.4,"ORC for billing and telehealth, supervises social worker, moderate risk."
1000497983,0.55,"Triggered for IC, majority HCPCs codes, approved for outreach, moderate to high risk."
1000499704,0.35,"MD in GA, billing documented, no significant patterns, low to moderate risk."
1000501849,0.6,"MD in FL, triggered for multiple factors, patterns continue, higher risk."
1000508452,0.25,"Primary billing SUD HCPC codes, residential level, lower risk."
1000514363,0.2,"Provider group issue an error, closed at direction, low risk."
1000514645,0.15,"Case closure due to low exposure and addressed issues, very low risk."
1000515432,0.4,"LCSW in MA, triggered for crisis, billing telehealth, moderate risk."
1000517728,0.65,"Billing issues acknowledged, PNI referral, declined billing, moderate to high risk."
1000518129,0.3,"MD in FL, older long days, minimal non-MD codes, pass, low to moderate risk."
1000529278,0.45,"Running PPA/Claims, group on PIP, moderate risk due to ongoing PIP."
1000529332,0.25,"Flag in place for all codes, nothing for PM to address, low risk."
1000529792,0.35,"No patterns warranting ORC, hospital rounds, low to moderate risk."
1000530061,0.4,"MSW in VT, longer days could be SP, close/pass, moderate risk."
1000534184,0.3,"Intervention done, current PPA not current, some long days, low to moderate risk."
1000537869,0.2,"3B group, SUD tx, MAT billing, low risk."
1000538189,0.35,"MD in FL, triggered for states, minimal add ons, moderate risk."
1000540579,0.5,"MD in FL, telehealth, incident to, no add-ons, scheduling for ORC, moderate risk."
1000542156,0.4,"CC tx, states and add ons, low frequency, mostly commercial, moderate risk."
1000544957,0.25,"Oregon TIN, billing at 3B groups in Idaho, lower risk."
1000545019,0.2,"PhD in MN, Medica, route to Medica folks, low risk."
1000545781,0.3,"Triggered for long days, add ons, old long days, pass, low to moderate risk."
1000546516,0.55,"Open to Gayna, ORC with PNI referral, moderate to high risk."
1000550663,0.45,"MD in PA, non-MD billing, open case, moderate risk."
1000552928,0.4,"MD in FL, states, add-ons, IP services, frequency up, moderate risk."
1000558265,0.35,"Concurrent tx trigger, PS outreach process, moderate risk."
1000558543,0.3,"SW in FL, triggered for states, no patterns, checking OOS billing, low to moderate risk."
1000560735,0.25,"Billing H2019 TBS in MN, long days due to units, low risk."
1000577587,0.2,"PhD billing HCPC codes, email to Rebecca and TJ, low risk."
1000361607,0.45,"Case closed, but SP issues may play in, moderate risk due to uncertainty."
1000365787,0.5,"Open to Natasha, case staffing pending, moderate risk due to pending review."
1000366111,0.25,"Reviewed previously, add PPAs to file, low risk due to lack of significant issues."
1000367021,0.4,"2I with PhD, sent for review, moderate risk pending further information."
1000369567,0.2,"Flag in place, email to close case, low risk as case completed on all platforms."
1000371518,0.55,"Open for new tip, higher risk due to new information pending."
1000373594,0.7,"Billing for neurofeedback inappropriately, PNI referral done, higher risk."
1000373699,0.45,"LCSW in GA, slightly longer days, note discrepancy, moderate risk due to potential issues."
1000376092,0.65,"Triggering for long days, crisis add-ons, needs new call, moderate to high risk."
1000381999,0.3,"Almost all Medica, forwarding to Medica, low to moderate risk."
1000383580,0.35,"MD in GA, small amount of non-MD billing, pass, low to moderate risk."
1000386263,0.5,"PPAs not on file, need to re-run reports, moderate risk due to incomplete information."
1000393490,0.25,"PhD with no patterns worth of outreach, low billing amounts, low risk."
1000417305,0.4,"Triggered for states and add-ons, ADHD billing, no long days, mostly telehealth, moderate risk."
1000417588,0.35,"Triggered for long day, comprised of e/m, some telehealth, moderate risk."
1000424444,0.6,"ORC for billing for others, ongoing monitoring, moderate to high risk."
1000424897,0.2,"Flag placed, case closed, low risk post-flagging."
1000429724,0.45,"Billing at Lifespan, impact on long days due to hospital billing, moderate risk."
1000433984,0.4,"Case closed, long days, states, and add ons addressed, moderate risk."
1000434881,0.35,"Psychotherapy add-on with patients, ADHD diagnoses, no current patterns of high concern, moderate risk."
1000434915,0.3,"SW in WI, long days but not a consistent pattern, low to moderate risk."
1000437118,0.45,"States and claims review, prior case for TMS tips, moderate risk."
1000442232,0.25,"SP in system, group affiliations, no outreach required, low risk."
1000442731,0.55,"Need to ORC, non-MD codes persist, moderate to high risk."
1000442765,0.5,"Billing at Sunrise, working with PRA, tip outstanding, moderate risk."
1000451627,0.3,"Multiple TINS, HCPC codes for meth maintenance, no significant patterns, low to moderate risk."
1000469794,0.25,"H codes billing, email to public sector for review, low risk."
1000471222,0.35,"Audit results call, progress notes not unique, closing case, moderate risk."
1000475467,0.2,"Confirmed FQHC status, closed case, low risk."
1000478829,0.3,"Several ORCs, most recently over a year ago, closing case, low to moderate risk."
1000275955,0.4,"MD in AL, triggered for addons and long days, but mostly office work and some telehealth indicate moderate risk."
1000281799,0.3,"MD corrected billing from 90834s to 90833s post-intervention, indicating lower risk."
1000282394,0.25,"Conc tx, mostly IP work, no patterns of concern, expected frequency due to IP."
1000286450,0.2,"ORC closed as incident to only, no non-md codes, suggesting low risk."
1000287538,0.45,"Tip for 99457, but patterns more one-offs than consistent, moderate risk."
1000288616,0.55,"PhD in MO, some billing irregularities, increased frequency, requires ORC, moderate to high risk."
1000290491,0.35,"MD in MO, triggered for states, mostly IP psych, no actionable patterns, moderate risk."
1000291082,0.6,"States and add-on codes, long days, supervisory patterns, needs further investigation, higher risk."
1000292943,0.5,"Needs monitoring, suggests moderate risk but not enough information for higher assessment."
1000293325,0.3,"Triggered for cctx and states, all E/M, no long days, low to moderate risk."
1000296322,0.25,"99.8% billing at 3B, long days expected, supervisory protocol in place, low risk."
1000302230,0.5,"Flag requested, indicates a need for monitoring, medium risk."
1000302979,0.55,"PNI referral done, monitoring due, indicates moderate risk."
1000308995,0.35,"Triggered for add-ons, primarily 90833, no other patterns of concern, moderate risk."
1000309406,0.4,"Triggered for states, E/Ms and evals, some long days, but overall moderate risk."
1000309849,0.6,"ORC acknowledged billing for licensed clinicians, higher risk due to billing practices."
1000309870,0.45,"ORC scheduled, but case closed post leadership review, moderate risk."
1000312947,0.35,"2I in RI, long days but SP applies, pending verification of Q code, moderate risk."
1000342543,0.2,"Re-ran PPAs, all but 1 client out of scope, no billing, low risk."
1000347454,0.5,"Primarily HCPC billing, insufficient detail for higher risk assessment, medium risk."
1000226224,0.35,"MD RI - Mostly IP, explained long days, and no significant risk patterns."
1000230849,0.5,"Sending info to PS - Case specifics not clear, default to medium risk."
1000233953,0.85,"Admitted to billing for others, large practice, long days recently, and case reopening indicate higher risk."
1000236938,0.3,"MD in RI, addressed for prior provider, suggests lower risk."
1000242087,0.6,"Triggered for states and add-ons, billing for others in contract, but passed review."
1000247842,0.4,"MD in FL, mostly E/M, expected therapy - lower risk but triggered for states."
1000249243,0.55,"MD with multiple TINS, long days, increased billing, but no practice patterns worth of outreach currently."
1000249319,0.45,"MD RI, multiple associations, but no current billing, medium risk due to history."
1000250184,0.7,"MD in FL with 19-hour days, needs further investigation, indicating higher risk."
1000251675,0.25,"Flag placed but case recommended for closure, suggests lower risk."
1000251748,0.5,"MD in FL, triggered for states and add-on codes, but billing within scope."
1000255202,0.3,"MD in FL, triggered for CCtx, but no add-ons or concerning patterns."
1000257540,0.4,"MD in WI, triggered for states, part of large group with no immediate patterns."
1000259428,0.2,"Case closed due to time since last intervention and low exposure."
1000263971,0.6,"ORC / auditing - Medium risk due to ongoing auditing process."
1000264204,0.55,"ORC case, open for monitoring, indicates need for attention."
1000268046,0.35,"Minimal non-traditional MD codes, no need for outreach, lower risk."
1000272889,0.65,"ORC scheduled, incomplete notes, PNI referral, suggests moderate to high risk."
1000273339,0.6,"Recent ORC, supervises clinicians, educated on billing - moderate risk."
1000019745,0.7,"Mention of 'monitoring due' and 'data mined' indicates a need for attention but no clear high-risk pattern."
1000040019,0.6,"'No individual patterns' lowers risk, but 'triggered for different states' slightly raises it."
1000057290,0.3,"Low billing amount ($5K) and 'no other patterns' indicate low risk."
1000061733,0.7,"'Billing for others' is a medium risk factor, but improvement in patterns reduces risk."
1000089256,0.2,"Provider is a PhD (lowers risk) with 'only pattern is longer days'."
1000110101,0.4,"'All non MD codes were old' and 'primarily exposure' indicate lower risk."
1000111750,0.15,"'No billing since Jan 23' suggests very low current risk."
1000111835,0.25,"PhD (lowers risk), 'triggered for long days' (medium risk), but no current patterns."
1000134212,0.2,"'Psych testing does not warrant ORC' indicates lower risk."
1000146589,0.5,"Insufficient information for a precise risk assessment, default to medium risk."
1000168187,0.45,"'FL no currently long days' indicates lower risk, but 'cross billing issues' raise concern."
1000176304,0.4,"'Codes billed are out of scope' raises some concerns, but no high-risk patterns mentioned."
1000207812,0.6,"'Needs outreach' and 'potential incident to' indicate a need for further review, raising risk."
1000208203,0.2,"'Primarily IP services' and 'no patterns of concern' suggest low risk."
1000210248,0.55,"'High complexity' and 'a few long days' raise risk, but 'patterns do not appear to be occurring' lowers it."
1000211683,0.5,"'Mostly telehealth' and 'long days' are moderate risk factors."
1000220734,0.45,"'MD in GA', 'triggered for long days' increase risk, but 'long days are older' lowers it."
1000221952,0.4,"'Very minimal non-MD codes' lowers risk, but data inconsistency requires attention."
1000222531,0.3,"'Longer days' and 'out of state billing' raise some risk, but 'Supervisory Protocol' lowers it."
